number,rd1.microHenries,rd1.ohms,rd2.microHenries,rd2.ohms,rd3.microHenries,rd3.ohms,rd4.microHenries,rd4.ohms,rd5.microHenries,rd5.ohms,rd6.microHenries,rd6.ohms,rd7.microHenries,rd7.ohms,total.microHenries,total.ohms
b7,186.267,15.896,186.069,18.511,186.489,17.954,174.955,17.505,186.749,16.687,186.333,17.405,185.669,16.847,8.303,116.408
17,186.092,11.031,186.089,16.382,186.302,17.043,186.524,17.229,186.954,16.216,186.234,17.019,185.96,16.242,8.463,108.124
5,183.264,10.643,183.324,15.558,183.67,16.7,183.823,17.085,168.403,15.234,183.202,15.705,182.949,16.869,8.218,104.795
10,170.27,9.837,186.176,16.898,186.254,16.291,186.646,16.896,186.606,16.378,186.19,16.152,185.707,16.654,8.354,106.852
